sūtra ID,sūtra,laghuvṛtti
1.1.1,अर्हँ॥,अर्हँ इत्येतदक्षरं परमेश्वरस्य परमेष्ठिनो वाचकं मङ्गलार्थं शास्त्रस्याऽऽदौ प्रणिदध्महे॥१॥
1.1.2,सिद्धिः स्याद्वादात्॥,स्याद्वाद् अनेकान्तवादात् प्रकृतानां शब्दानां सिद्धिः निष्पत्तिर्ज्ञप्तिश्च वेदितव्या॥२॥
1.1.3,लोकात्॥,"अनुक्तानां संज्ञानां न्यायानां च लोकाद् वैयाकरणादेः सिद्धिर्ज्ञप्तिर्वेदितव्या, वर्णसमाम्नायस्य च॥३॥ तत्र-"
1.1.4,औदन्ताः स्वराः॥,औकारावसाना वर्णाः स्वरसंज्ञाः स्युः। अ आ इ ई उ ऊ ऋ ॠ ऌ ॡ ए ऐ ओ औ॥4॥
1.1.5,एकद्वित्रिमात्राः ह्रस्वदीर्घप्लुताः॥,"मात्रा कालविशेषः। एक-द्वि-त्र्युच्चारणमात्रा औदन्ता वर्णा यथासंख्यं ह्रस्व-दीर्घ-प्लुतसंज्ञाः स्युः। अ इ उ ऋ ऌ, आ ई ऊ ॠ ॡ ए ऐ ओ औ, आ३ ई३ ऊ३ इत्यादि॥५॥"
1.1.6,अनर्वणा नामी॥,अवर्णवर्जा औदन्ता वर्णा नामिसंज्ञाः स्युः। इ ई उ ऊ ऋ ॠ ऌ ॡ ए ऐ ओ औ॥६॥
1.1.7,ॡदन्ताः समानाः॥,ॡकारावसाना वर्णाः समानाः स्युः। अ आ इ ई उ ऊ ऋ ॠ ऌ ॡ॥७॥
1.1.8,एऐओऔ सन्ध्यक्षरम्॥,ए ऐ ओ औ इत्येते वर्नाः सन्ध्यक्षराणि स्युः॥८॥
1.1.9,अंअः अनुस्वारविसर्गौ॥,"अकारावुच्चारणार्थौ। अं इति नासिक्यो वर्णः, अः इति च कण्ठ्यो यथासंख्यम् अनुस्वार-विसर्गौ स्याताम्॥९॥"
1.1.10,कादिर्व्यञ्जनम्॥,"कादिर्वर्णो हपर्यन्तो व्यञ्जनं स्यात्। क ख ग घ ङ, च छ ज झ ञ, ट ठ ड ढ ण, त थ द ध न, प फ ब भ म, य र ल व, श ष स ह॥१०॥"
1.1.11,अपञ्चमान्तस्थो धुट्॥,"वर्गपञ्चमा-ऽन्तस्थावर्जः कादिर्वर्णो धुट् स्यात्। क ख ग घ, च छ ज झ, ट ठ ड ढ, त थ द ध, प फ ब भ, श ष स ह॥११॥"
1.1.12,पञ्चको वर्गः॥,"कादिषु वर्णेषु यो यः पञ्चसंसख्यापरिमाणो वर्गः स स वर्गः स्यात्। क ख ग घ ङ, च छ ज झ ञ, ट ठ ड ढ ण, त थ द ध न, प फ ब भ म॥१२॥"
1.1.13,आद्यद्वितीयशषसा अघोषाः॥,"वर्णानामाद्य-द्वितीया वर्णाः श-ष-साश्च अघोषाः स्युः। क ख, च छ, ट ठ, त थ, प फ, श ष स॥१३॥"
1.1.14,अन्यो घोषवान्॥,"अघोषेभ्योऽन्यः कादिर्वर्णो घोषवान् स्यात्। ग घ ङ, ज झ ञ, ड ढ ण, द ध न, ब भ म, य र ल व, ह॥१४॥"
1.1.15,यरलवा अन्तस्थाः॥,एते अन्तस्थाः स्युः॥
1.1.16,अंअःᳳकᳲपशषसाः शिट्॥,"अ-क-पा उच्चारनार्थाः, अनुस्वार-विसर्गौ वज्र-गजकुम्भाऽऽकृती च वर्णौ श-ष-साश्च शिटः स्युः॥१६॥"
1.1.17,तुल्यास्यप्रयत्नः स्वः॥,"स्थानं कण्ठादि। आस्ये प्रयत्न आस्यप्रयत्न स्पृष्टतादिः। तुल्यौ वर्णान्तरेण सदृशौ स्थाना-ऽऽस्यप्रयत्नौ यस्य स वर्णस्तं प्रति स्वः स्यात्।
तत्र त्रयोऽकारा उदात्ता-ऽनुदात्त-स्वरिताः प्रत्येकं सानुनासिक-निरनुनासिकभेदात् षट्, दीर्घ-प्लुतौ इति अष्टादश भेदा अवर्णस्य, ते सर्वे कण्ठस्थाना विवृतकरणाः परस्परं स्वाः। एवम् इवर्नास्तावन्तस्तालव्या विवृतकरणाः, स्वाः। अवर्णा ओष्ठ्या विवृतकरणा परस्परं स्वाः। ऋवर्णा मूर्द्धन्या विवृतकरणाः स्वाः। ऌवर्णा दन्त्या विवृतकरणाः स्वाः। सन्ध्यक्षराणां ह्रस्वा न सन्ति, इति तानि प्रत्येकं द्वादशभेदानि। तत्र एकारास्तालव्या विवृततराः स्वाः। ऐकारास्तालव्या अतिविवृततराः स्वाः। ओकारा ओष्ठ्या विवृततराः स्वाः। औकारा औष्ठ्या अतिविवृततराः स्वाः। वर्ग्याः पञ्च पञ्च परस्परं स्वाः। य-ल-वानामनुनासिकोऽननुनासिकश्च द्वौ भेदौ परस्परं स्वौ॥१७॥"
1.1.18,स्यौजसमौशस्टाभ्याम्भिस्ङेभ्याम्भ्यस्ङसिभ्याम्भ्यस्ङसोसाम्ङ्योस्सुपां त्रयी त्रयी प्रथमादिः॥,स्यादीनां प्रत्ययानां त्रयी त्रयी यथासंख्यं प्रथमा द्वितीया तृतीया चतुर्थी पञ्चमी षष्ठी सप्तमी च स्यात्॥१८॥
1.1.19,स्त्यादिर्विभक्तिः॥,स् इति च ति इति च उत्सृष्टानुबन्धस्य सेस्तिवश्च ग्रहणम्। स्यादयस्तिवादयश्च सुप्-स्यामहिपर्यन्ता विभक्तयः स्युः॥१९॥
1.1.20,तदन्तं पदम्॥,"स्याद्यन्तं त्याद्यन्तं च पदं स्यात्। धर्मो वः स्वम्, ददाति नः शास्त्रम्॥२०॥"
1.1.21,नाम सिदय्व्यञ्जने॥,"सिति प्रत्यये यवर्णव्यञ्जनादौ च परे नाम पदं स्यात्। भवदीयः, पयोभ्याम्। अय् इति किम्? वाच्यति॥२१॥"
1.1.22,नं क्ये॥,"क्ये इति क्यन्-क्यङ्-क्यङ्षां ग्रहणम्। नान्तं नाम क्ये परे पदं स्यात्। राजीयति, राजायते, चर्मायति॥२२॥"
1.1.23,न स्तं मत्वर्थे॥,"सान्तं तान्तं च नाम मत्वर्थे परे पदं न स्यात्। यशस्वी, तडित्वान्॥२३॥"
1.1.24,मनुर्नभोऽङ्गिरो वति॥,"एतानि वति परे पदं न स्युः। मनुष्वत्, नभस्वत्, अङ्गिरस्वत्॥२४॥"
